lag,beta,debt_at,roe,btm
0,0.020826285365529183,0.004283023385780245,0.006731580321282023,-0.08378339267832581
1,0.02018319971455141,0.002399997776480567,0.001605471667505379,0.0662857216558263
2,0.02047274482879075,0.002866944236880747,-0.006689843063073309,0.060123340249344084
3,0.015267688083183354,0.0016950690689837746,-0.013182980750741355,0.049147237063809635
4,0.016223068718629892,0.0015200023184265452,-0.011979823970133403,0.04967872279954185
5,0.01926672034821952,0.0013759820297803082,-0.015073443059887478,0.06068249661652688
6,0.017429587898395934,0.0022838077849288378,-0.013978034503388248,0.048384958521455405
7,0.013052277812322642,0.002397889221768074,-0.010479921291104283,0.037223572436833
8,0.01664086365413452,0.001689906291872242,-0.02113616351626164,0.03929922190124282
9,0.013323408397523303,0.0045623215061174624,-0.0163395038249266,0.03761494799743865
10,0.011009269948137551,0.0042435246021081,-0.014171928211943824,0.029222781453336594
11,0.006886427571049285,0.002420826884176573,-0.018050569691224205,0.02799681450019882
12,0.006403457214744107,0.0021525759626646198,-0.020189855374030074,0.03279012972820599
