Crisis,Sector,Avg_Return,Return_Volatility,Max_Drawdown,N_Obs
Financial Crisis,Diversified,-0.043697704081632656,0.16010488544245413,-0.6355,392
Financial Crisis,Healthcare,-0.03200340909090908,0.16830353697613168,-0.5569,264
Financial Crisis,Hotel/Lodging,-0.07365808823529413,0.2114191727369174,-0.798,136
Financial Crisis,Industrial,-0.04641397849462364,0.14458294414370046,-0.5337,93
Financial Crisis,Office,-0.012465277777777777,0.11486608143708257,-0.3896,72
Financial Crisis,Residential,-0.03914315789473684,0.1652608857196416,-0.6565,381
Financial Crisis,Retail,-0.016803448275862068,0.12943174435338556,-0.3627,145
Financial Crisis,Self-Storage/Specialty,-0.027018518518518515,0.12443101153541292,-0.26,54
COVID-19,Diversified,-0.0830411214953271,0.2470755231546148,-0.7243,107
COVID-19,Healthcare,-0.05994666666666667,0.17261138233249412,-0.5319,60
COVID-19,Hotel/Lodging,-0.07380350877192982,0.28016908476649816,-0.769,57
COVID-19,Industrial,-0.08514727272727272,0.1891446299984196,-0.6826,55
COVID-19,Office,-0.016306249999999998,0.16290825587999141,-0.4734,80
COVID-19,Residential,-0.0369267716535433,0.13947443439218127,-0.4468,127
COVID-19,Retail,-0.062025,0.1854228479804781,-0.5568,48
COVID-19,Self-Storage/Specialty,-0.01713125,0.0906710149845767,-0.1705,16
Rate Hiking (2022-23),Diversified,-0.0020909975669099762,0.09986475875257372,-0.3901,411
Rate Hiking (2022-23),Healthcare,-0.01126919831223629,0.07643674035468473,-0.2062,238
Rate Hiking (2022-23),Hotel/Lodging,-0.0033203389830508486,0.1343587773881858,-0.3515,177
Rate Hiking (2022-23),Industrial,-0.017660245901639348,0.1072925178201453,-0.3512,244
Rate Hiking (2022-23),Office,-0.0015475862068965542,0.12524669861191784,-0.396,290
Rate Hiking (2022-23),Residential,-0.020770588235294114,0.10672934826706572,-0.5981,443
Rate Hiking (2022-23),Retail,-0.0016928571428571435,0.09590120326146817,-0.2156,169
Rate Hiking (2022-23),Self-Storage/Specialty,-0.0010890624999999987,0.07254234038348564,-0.1775,64
